    mass_H2O	        totU	     totAcid	     totBase	          pH	        U_aq	         U_s	        U_sc	        U_ex	        Kd_s	       Kd_sc	       Kd_ex	metaschoepite	
    0.999948	  5.5177e-04	  1.3914e-02	  1.0000e-09	  2.0066e+00	  5.2063e-04	  3.1161e-05	  1.4147e-07	  3.1020e-05	  5.9852e+01	  2.7172e-01	  5.9581e+01	           0	
    0.999997	  1.8996e-03	  1.0000e-09	  2.7339e-04	  9.9298e+00	  2.1486e-04	  1.6847e-03	  2.6642e-06	  2.5441e-15	  7.8410e+03	  1.2400e+01	  1.1841e-08	  1.6820e-03	
    0.999916	  1.3071e-06	  1.6370e-02	  1.0000e-09	  1.9001e+00	  1.2227e-06	  8.4485e-08	  2.1626e-10	  8.4268e-08	  6.9098e+01	  1.7687e-01	  6.8921e+01	           0	
           1	  7.9609e-05	  1.0000e-09	  6.7374e-03	  1.1690e+01	  7.7612e-05	  1.9969e-06	  1.9969e-06	  9.5319e-21	  2.5730e+01	  2.5730e+01	  1.2281e-13	           0	
    0.999897	  7.4938e-08	  1.8405e-02	  1.0000e-09	  1.8494e+00	  7.0116e-08	  4.8287e-09	  9.7696e-12	  4.8189e-09	  6.8867e+01	  1.3933e-01	  6.8728e+01	           0	
    0.999751	  8.6639e-03	  1.0000e-09	  1.7502e-02	  1.1793e+01	  8.6640e-03	  2.0061e-06	  2.0061e-06	  2.3731e-19	  2.3155e-01	  2.3155e-01	  2.7391e-14	           0	
    0.999922	  1.9553e-09	  1.0000e-09	  1.5824e-02	  1.2067e+01	  1.7963e-10	  1.7756e-09	  1.7756e-09	  8.7212e-28	  9.8850e+03	  9.8850e+03	  4.8551e-15	           0	
    0.999919	  9.9872e-06	  1.6023e-02	  1.0000e-09	  1.9098e+00	  9.3436e-06	  6.4438e-07	  1.7288e-09	  6.4265e-07	  6.8965e+01	  1.8502e-01	  6.8780e+01	           0	
    0.999944	  6.7494e-06	  1.3227e-02	  1.0000e-09	  1.9928e+00	  6.3116e-06	  4.3819e-07	  1.7234e-09	  4.3647e-07	  6.9427e+01	  2.7305e-01	  6.9154e+01	           0	
    0.999899	  8.5865e-07	  1.0000e-09	  1.8311e-02	  1.2130e+01	  1.2839e-07	  7.3027e-07	  7.3027e-07	  3.5242e-25	  5.6881e+03	  5.6881e+03	  2.7450e-15	           0	
    0.999918	  3.6616e-04	  1.6854e-02	  1.0000e-09	  1.9069e+00	  3.4469e-04	  2.1498e-05	  6.1043e-08	  2.1437e-05	  6.2369e+01	  1.7709e-01	  6.2192e+01	           0	
      0.9999	  1.1358e-07	  1.0000e-09	  1.8272e-02	  1.2129e+01	  1.1935e-08	  1.0164e-07	  1.0164e-07	  3.3027e-26	  8.5164e+03	  8.5164e+03	  2.7672e-15	           0	
    0.999992	  8.4457e-04	  1.0000e-09	  6.3511e-03	  1.1588e+01	  8.4258e-04	  2.0027e-06	  2.0027e-06	  2.1646e-19	  2.3768e+00	  2.3768e+00	  2.5690e-13	           0	
    0.999948	  1.3570e-07	  1.0000e-09	  1.2922e-02	  1.1980e+01	  1.1743e-08	  1.2396e-07	  1.2396e-07	  1.2404e-25	  1.0556e+04	  1.0556e+04	  1.0563e-14	           0	
    0.999888	  1.9031e-06	  1.9437e-02	  1.0000e-09	  1.8260e+00	  1.7810e-06	  1.2236e-07	  2.2211e-10	  1.2214e-07	  6.8705e+01	  1.2471e-01	  6.8580e+01	           0	
           1	  2.7549e-05	  1.0000e-09	  6.9191e-03	  1.1706e+01	  2.5558e-05	  1.9901e-06	  1.9901e-06	  2.7463e-21	  7.7866e+01	  7.7866e+01	  1.0745e-13	           0	
    0.999894	  5.5020e-07	  1.0000e-09	  1.8964e-02	  1.2145e+01	  7.1911e-08	  4.7830e-07	  4.7830e-07	  1.7189e-25	  6.6512e+03	  6.6512e+03	  2.3903e-15	           0	
     1.00005	  5.1983e-06	  1.9984e-03	  1.0000e-09	  2.8277e+00	  4.7996e-06	  3.9854e-07	  6.0522e-08	  3.3802e-07	  8.3037e+01	  1.2610e+01	  7.0427e+01	           0	
    0.999959	  1.0224e-07	  1.0000e-09	  1.1694e-02	  1.1937e+01	  8.2557e-09	  9.3984e-08	  9.3984e-08	  1.2718e-25	  1.1384e+04	  1.1384e+04	  1.5405e-14	           0	
    0.999984	  1.5313e-06	  8.7354e-03	  1.0000e-09	  2.1728e+00	  1.4306e-06	  1.0072e-07	  9.0575e-10	  9.9817e-08	  7.0406e+01	  6.3313e-01	  6.9773e+01	           0	
     1.00003	  2.3424e-08	  1.0000e-09	  4.2987e-03	  1.1500e+01	  1.1944e-09	  2.2230e-08	  2.2230e-08	  6.6810e-25	  1.8612e+04	  1.8612e+04	  5.5938e-13	           0	
    0.999853	  2.2706e-03	  1.0000e-09	  1.8886e-02	  1.2049e+01	  2.2690e-03	  2.0004e-06	  2.0004e-06	  1.2025e-20	  8.8163e-01	  8.8163e-01	  5.2996e-15	           0	
     1.00003	  7.9177e-07	  1.0000e-09	  4.1935e-03	  1.1489e+01	  6.0719e-08	  7.3105e-07	  7.3105e-07	  3.7013e-23	  1.2040e+04	  1.2040e+04	  6.0957e-13	           0	
    0.999834	  4.2892e-03	  1.0000e-09	  1.6973e-02	  1.1904e+01	  4.2879e-03	  2.0022e-06	  2.0022e-06	  6.9457e-20	  4.6695e-01	  4.6695e-01	  1.6198e-14	           0	
    0.999932	  7.1079e-08	  1.4589e-02	  1.0000e-09	  1.9498e+00	  6.6473e-08	  4.6109e-09	  1.4855e-11	  4.5961e-09	  6.9366e+01	  2.2347e-01	  6.9142e+01	           0	
    0.999956	  2.5982e-08	  1.0000e-09	  1.2083e-02	  1.1951e+01	  2.0657e-09	  2.3917e-08	  2.3917e-08	  2.8137e-26	  1.1578e+04	  1.1578e+04	  1.3621e-14	           0	
    0.999782	  8.8058e-03	  5.9081e-04	  1.0000e-09	  5.8952e+00	  1.6815e-03	  7.1247e-03	  3.5626e-05	  2.9965e-07	  4.2372e+03	  2.1188e+01	  1.7821e-01	  7.0888e-03	
           1	  7.7060e-04	  1.0000e-09	  5.1761e-03	  1.1493e+01	  7.6859e-04	  2.0040e-06	  2.0040e-06	  4.0511e-19	  2.6074e+00	  2.6074e+00	  5.2708e-13	           0	
    0.999999	  1.0644e-03	  1.0000e-09	  5.1099e-03	  1.1457e+01	  1.0623e-03	  2.0064e-06	  2.0064e-06	  6.7107e-19	  1.8886e+00	  1.8886e+00	  6.3168e-13	           0	
     0.99991	  2.0382e-09	  1.0000e-09	  1.7183e-02	  1.2103e+01	  1.9688e-10	  1.8414e-09	  1.8414e-09	  6.9354e-28	  9.3525e+03	  9.3525e+03	  3.5226e-15	           0	
     1.00001	  1.9504e-03	  9.6564e-03	  1.0000e-09	  2.3563e+00	  1.8651e-03	  8.5266e-05	  1.2580e-06	  8.4008e-05	  4.5717e+01	  6.7448e-01	  4.5042e+01	           0	
     1.00004	  1.7104e-04	  2.9347e-03	  1.0000e-09	  2.7081e+00	  1.5957e-04	  1.1467e-05	  7.8226e-07	  1.0685e-05	  7.1864e+01	  4.9023e+00	  6.6962e+01	           0	
    0.999886	  1.8308e-09	  1.9650e-02	  1.0000e-09	  1.8212e+00	  1.7132e-09	  1.1773e-10	  2.0893e-13	  1.1752e-10	  6.8719e+01	  1.2195e-01	  6.8597e+01	           0	
    0.999945	  6.1922e-03	  1.7782e-03	  1.0000e-09	  5.4458e+00	  4.9154e-03	  1.2771e-03	  3.8663e-05	  2.3566e-06	  2.5981e+02	  7.8657e+00	  4.7944e-01	  1.2360e-03	
    0.999933	  7.7518e-03	  2.5973e-03	  1.0000e-09	  5.3042e+00	  6.9645e-03	  7.8776e-04	  3.9343e-05	  4.4844e-06	  1.1311e+02	  5.6490e+00	  6.4390e-01	  7.4394e-04	
     1.00006	  2.3280e-06	  1.0000e-09	  7.8627e-04	  1.0732e+01	  5.6845e-07	  1.7596e-06	  1.7596e-06	  9.2929e-20	  3.0953e+03	  3.0953e+03	  1.6348e-10	           0	
     0.99997	  2.8649e-07	  1.0357e-02	  1.0000e-09	  2.0985e+00	  2.6774e-07	  1.8758e-08	  1.1997e-10	  1.8638e-08	  7.0062e+01	  4.4809e-01	  6.9613e+01	           0	
    0.999945	  1.1863e-03	  1.0000e-09	  1.0880e-02	  1.1829e+01	  1.1844e-03	  2.0009e-06	  2.0009e-06	  4.3620e-20	  1.6894e+00	  1.6894e+00	  3.6829e-14	           0	
    0.999919	  2.4403e-04	  1.0000e-09	  1.5667e-02	  1.2052e+01	  2.4205e-04	  1.9984e-06	  1.9984e-06	  1.3414e-21	  8.2562e+00	  8.2562e+00	  5.5418e-15	           0	
     0.99996	  2.5191e-04	  1.0000e-09	  1.1037e-02	  1.1896e+01	  2.4993e-04	  1.9989e-06	  1.9989e-06	  5.4302e-21	  7.9979e+00	  7.9979e+00	  2.1727e-14	           0	
    0.999965	  6.0302e-07	  1.0000e-09	  1.0981e-02	  1.1910e+01	  6.0155e-08	  5.4287e-07	  5.4287e-07	  1.1734e-24	  9.0245e+03	  9.0245e+03	  1.9506e-14	           0	
           1	  1.5613e-09	  1.0000e-09	  6.5967e-03	  1.1688e+01	  9.1987e-11	  1.4693e-09	  1.4693e-09	  1.1494e-26	  1.5973e+04	  1.5973e+04	  1.2495e-13	           0	
     1.00005	  1.4436e-03	  1.1114e-03	  1.0000e-09	  4.8868e+00	  1.3931e-03	  5.0356e-05	  3.8689e-05	  1.1667e-05	  3.6146e+01	  2.7771e+01	  8.3748e+00	           0	
    0.999913	  2.9706e-04	  1.7191e-02	  1.0000e-09	  1.8943e+00	  2.7935e-04	  1.7732e-05	  4.6951e-08	  1.7685e-05	  6.3475e+01	  1.6807e-01	  6.3307e+01	           0	
     1.00004	  1.7121e-05	  2.3959e-03	  1.0000e-09	  2.7501e+00	  1.5872e-05	  1.2487e-06	  1.3545e-07	  1.1132e-06	  7.8674e+01	  8.5338e+00	  7.0140e+01	           0	
    0.999924	  1.2086e-05	  1.0000e-09	  1.5540e-02	  1.2059e+01	  1.0125e-05	  1.9613e-06	  1.9613e-06	  5.2961e-23	  1.9370e+02	  1.9370e+02	  5.2305e-15	           0	
     1.00006	  2.6111e-06	  1.0000e-09	  6.3721e-04	  1.0633e+01	  7.8782e-07	  1.8232e-06	  1.8232e-06	  2.6080e-19	  2.3143e+03	  2.3143e+03	  3.3104e-10	           0	
    0.999913	  3.3280e-06	  1.6620e-02	  1.0000e-09	  1.8937e+00	  3.1134e-06	  2.1490e-07	  5.3414e-10	  2.1436e-07	  6.9024e+01	  1.7156e-01	  6.8852e+01	           0	
    0.999914	  1.3334e-07	  1.6538e-02	  1.0000e-09	  1.8956e+00	  1.2473e-07	  8.6188e-09	  2.1603e-11	  8.5972e-09	  6.9100e+01	  1.7320e-01	  6.8927e+01	           0	
    0.999931	  2.0888e-06	  1.0000e-09	  1.4803e-02	  1.2039e+01	  5.8559e-07	  1.5032e-06	  1.5032e-06	  3.6809e-24	  2.5671e+03	  2.5671e+03	  6.2858e-15	           0	
    0.999972	  1.0944e-08	  1.0153e-02	  1.0000e-09	  2.1072e+00	  1.0228e-08	  7.1705e-10	  4.7715e-12	  7.1227e-10	  7.0109e+01	  4.6653e-01	  6.9643e+01	           0	
     1.00002	  6.8075e-05	  1.0000e-09	  5.1923e-03	  1.1575e+01	  6.6077e-05	  1.9969e-06	  1.9969e-06	  2.0395e-20	  3.0220e+01	  3.0220e+01	  3.0865e-13	           0	
    0.999961	  1.4005e-04	  1.0000e-09	  1.1155e-02	  1.1908e+01	  1.3806e-04	  1.9978e-06	  1.9978e-06	  2.7219e-21	  1.4470e+01	  1.4470e+01	  1.9716e-14	           0	
    0.999921	  3.2539e-07	  1.0000e-09	  1.5975e-02	  1.2072e+01	  3.4607e-08	  2.9078e-07	  2.9078e-07	  1.6197e-25	  8.4025e+03	  8.4025e+03	  4.6802e-15	           0	
     1.00002	  7.4202e-04	  1.0000e-09	  3.2119e-03	  1.1254e+01	  7.3999e-04	  2.0118e-06	  2.0118e-06	  2.0376e-18	  2.7187e+00	  2.7187e+00	  2.7535e-12	           0	
    0.999961	  1.2764e-06	  1.0000e-09	  1.1459e-02	  1.1928e+01	  1.9484e-07	  1.0816e-06	  1.0816e-06	  3.2406e-24	  5.5510e+03	  5.5510e+03	  1.6632e-14	           0	
    0.999992	  1.0895e-09	  1.0000e-09	  8.0305e-03	  1.1774e+01	  6.9862e-11	  1.0197e-09	  1.0197e-09	  4.3071e-27	  1.4596e+04	  1.4596e+04	  6.1651e-14	           0	
     1.00002	  7.4018e-08	  5.1776e-03	  1.0000e-09	  2.4017e+00	  6.9043e-08	  4.9742e-09	  1.2637e-10	  4.8479e-09	  7.2045e+01	  1.8302e+00	  7.0215e+01	           0	
     1.00001	  3.9022e-08	  6.0693e-03	  1.0000e-09	  2.3319e+00	  3.6420e-08	  2.6018e-09	  4.8267e-11	  2.5535e-09	  7.1439e+01	  1.3253e+00	  7.0113e+01	           0	
    0.999921	  1.4964e-06	  1.0000e-09	  1.5934e-02	  1.2070e+01	  3.0143e-07	  1.1950e-06	  1.1950e-06	  1.4253e-24	  3.9644e+03	  3.9644e+03	  4.7285e-15	           0	
    0.999944	  8.1769e-05	  1.3344e-02	  1.0000e-09	  1.9939e+00	  7.6574e-05	  5.1989e-06	  2.0825e-08	  5.1780e-06	  6.7893e+01	  2.7196e-01	  6.7621e+01	           0	
     1.00006	  6.1043e-07	  7.2516e-04	  1.0000e-09	  3.2987e+00	  5.1868e-07	  9.1719e-08	  5.5176e-08	  3.6543e-08	  1.7683e+02	  1.0638e+02	  7.0454e+01	           0	
           1	  1.2255e-08	  1.0000e-09	  6.6189e-03	  1.1689e+01	  7.2649e-10	  1.1529e-08	  1.1529e-08	  8.9698e-26	  1.5869e+04	  1.5869e+04	  1.2347e-13	           0	
    0.999962	  2.8200e-08	  1.1249e-02	  1.0000e-09	  2.0626e+00	  2.6358e-08	  1.8424e-09	  9.9874e-12	  1.8324e-09	  6.9896e+01	  3.7891e-01	  6.9517e+01	           0	
     1.00004	  1.7375e-08	  2.6238e-03	  1.0000e-09	  2.7029e+00	  1.6120e-08	  1.2544e-09	  1.1809e-10	  1.1363e-09	  7.7815e+01	  7.3254e+00	  7.0489e+01	           0	
    0.999927	  2.9322e-03	  1.0000e-09	  9.4007e-03	  1.1650e+01	  2.9304e-03	  2.0057e-06	  2.0057e-06	  3.5096e-19	  6.8444e-01	  6.8444e-01	  1.1977e-13	           0	
     0.99993	  1.1675e-04	  1.5006e-02	  1.0000e-09	  1.9445e+00	  1.0943e-04	  7.3297e-06	  2.3574e-08	  7.3061e-06	  6.6982e+01	  2.1543e-01	  6.6767e+01	           0	
    0.999926	  1.0262e-05	  1.0000e-09	  1.5378e-02	  1.2055e+01	  8.3097e-06	  1.9534e-06	  1.9534e-06	  4.5235e-23	  2.3507e+02	  2.3507e+02	  5.4437e-15	           0	
     1.00005	  2.5407e-05	  1.0000e-09	  1.7320e-03	  1.1088e+01	  2.3412e-05	  1.9939e-06	  1.9939e-06	  2.9388e-19	  8.5166e+01	  8.5166e+01	  1.2552e-11	           0	
    0.999966	  6.9683e-08	  1.0000e-09	  1.0952e-02	  1.1908e+01	  5.3578e-09	  6.4325e-08	  6.4325e-08	  1.0552e-25	  1.2006e+04	  1.2006e+04	  1.9695e-14	           0	
    0.999988	  1.2398e-06	  8.3519e-03	  1.0000e-09	  2.1924e+00	  1.1582e-06	  8.1672e-08	  8.0317e-10	  8.0869e-08	  7.0517e+01	  6.9348e-01	  6.9824e+01	           0	
    0.999932	  8.4970e-07	  1.0000e-09	  1.4729e-02	  1.2037e+01	  1.1259e-07	  7.3711e-07	  7.3711e-07	  7.2128e-25	  6.5469e+03	  6.5469e+03	  6.4062e-15	           0	
     0.99991	  3.2358e-09	  1.6978e-02	  1.0000e-09	  1.8843e+00	  3.0270e-09	  2.0901e-10	  4.9701e-13	  2.0851e-10	  6.9046e+01	  1.6419e-01	  6.8882e+01	           0	
    0.999946	  2.5305e-04	  1.0000e-09	  1.2632e-02	  1.1956e+01	  2.5107e-04	  1.9987e-06	  1.9987e-06	  3.2426e-21	  7.9610e+00	  7.9610e+00	  1.2916e-14	           0	
     1.00002	  2.0934e-09	  1.0000e-09	  4.4566e-03	  1.1516e+01	  1.0693e-10	  1.9865e-09	  1.9865e-09	  5.2818e-26	  1.8577e+04	  1.8577e+04	  4.9394e-13	           0	
     0.99999	  1.2715e-09	  8.0713e-03	  1.0000e-09	  2.2072e+00	  1.1876e-09	  8.3875e-11	  8.8248e-13	  8.2993e-11	  7.0625e+01	  7.4308e-01	  6.9882e+01	           0	
     1.00002	  1.5736e-07	  4.4631e-03	  1.0000e-09	  2.4671e+00	  1.4668e-07	  1.0674e-08	  3.6312e-10	  1.0311e-08	  7.2769e+01	  2.4756e+00	  7.0294e+01	           0	
     1.00001	  4.4942e-04	  1.0000e-09	  5.0020e-03	  1.1512e+01	  4.4741e-04	  2.0019e-06	  2.0019e-06	  2.1754e-19	  4.4745e+00	  4.4745e+00	  4.8621e-13	           0	
    0.999886	  1.6182e-03	  1.0000e-09	  1.6570e-02	  1.2013e+01	  1.6163e-03	  2.0003e-06	  2.0003e-06	  1.2081e-20	  1.2375e+00	  1.2375e+00	  7.4742e-15	           0	
    0.999932	  1.5831e-07	  1.4485e-02	  1.0000e-09	  1.9530e+00	  1.4805e-07	  1.0272e-08	  3.3574e-11	  1.0238e-08	  6.9379e+01	  2.2678e-01	  6.9152e+01	           0	
     1.00002	  7.4763e-04	  6.4605e-03	  1.0000e-09	  2.4205e+00	  7.0620e-04	  4.1416e-05	  8.6675e-07	  4.0549e-05	  5.8646e+01	  1.2273e+00	  5.7419e+01	           0	
    0.999894	  2.6926e-08	  1.0000e-09	  1.8928e-02	  1.2144e+01	  2.7910e-09	  2.4135e-08	  2.4135e-08	  6.7199e-27	  8.6475e+03	  8.6475e+03	  2.4077e-15	           0	
    0.999968	  1.5326e-08	  1.0000e-09	  1.0684e-02	  1.1898e+01	  1.1362e-09	  1.4190e-08	  1.4190e-08	  2.4538e-26	  1.2490e+04	  1.2490e+04	  2.1597e-14	           0	
    0.999943	  1.0598e-03	  1.5487e-02	  1.0000e-09	  1.9885e+00	  1.0063e-03	  5.3544e-05	  2.3854e-07	  5.3305e-05	  5.3211e+01	  2.3705e-01	  5.2974e+01	           0	
    0.999906	  7.7690e-08	  1.0000e-09	  1.7629e-02	  1.2114e+01	  7.8659e-09	  6.9825e-08	  6.9825e-08	  2.5060e-26	  8.8769e+03	  8.8769e+03	  3.1860e-15	           0	
     1.00002	  6.0872e-06	  4.9779e-03	  1.0000e-09	  2.4200e+00	  5.6778e-06	  4.0931e-07	  1.1255e-08	  3.9806e-07	  7.2091e+01	  1.9823e+00	  7.0109e+01	           0	
     0.99999	  2.0091e-05	  8.0861e-03	  1.0000e-09	  2.2085e+00	  1.8773e-05	  1.3179e-06	  1.3950e-08	  1.3039e-06	  7.0199e+01	  7.4305e-01	  6.9456e+01	           0	
    0.999974	  3.1086e-04	  1.0000e-09	  9.3710e-03	  1.1819e+01	  3.0887e-04	  1.9994e-06	  1.9994e-06	  1.2946e-20	  6.4733e+00	  6.4733e+00	  4.1914e-14	           0	
    0.999957	  1.9353e-06	  1.1721e-02	  1.0000e-09	  2.0449e+00	  1.8092e-06	  1.2623e-07	  6.3085e-10	  1.2560e-07	  6.9772e+01	  3.4869e-01	  6.9424e+01	           0	
     0.99991	  5.9972e-07	  1.6949e-02	  1.0000e-09	  1.8850e+00	  5.6104e-07	  3.8733e-08	  9.2446e-11	  3.8640e-08	  6.9038e+01	  1.6478e-01	  6.8873e+01	           0	
    0.999942	  6.5555e-08	  1.3453e-02	  1.0000e-09	  1.9850e+00	  6.1296e-08	  4.2620e-09	  1.6152e-11	  4.2459e-09	  6.9532e+01	  2.6350e-01	  6.9268e+01	           0	
    0.999902	  3.0285e-09	  1.0000e-09	  1.7997e-02	  1.2123e+01	  3.0118e-10	  2.7273e-09	  2.7273e-09	  8.8479e-28	  9.0553e+03	  9.0553e+03	  2.9377e-15	           0	
     1.00004	  5.1293e-04	  3.2899e-03	  1.0000e-09	  2.7686e+00	  4.8190e-04	  3.1008e-05	  1.6117e-06	  2.9397e-05	  6.4347e+01	  3.3445e+00	  6.1002e+01	           0	
    0.999965	  9.5010e-04	  1.0000e-09	  9.1346e-03	  1.1759e+01	  9.4814e-04	  2.0010e-06	  2.0010e-06	  6.2866e-20	  2.1105e+00	  2.1105e+00	  6.6304e-14	           0	
     1.00003	  1.0792e-05	  1.0000e-09	  3.7708e-03	  1.1441e+01	  8.8149e-06	  1.9772e-06	  1.9772e-06	  7.8200e-21	  2.2431e+02	  2.2431e+02	  8.8714e-13	           0	
     1.00002	  7.0701e-06	  1.0000e-09	  4.6015e-03	  1.1529e+01	  5.1116e-06	  1.9584e-06	  1.9584e-06	  2.2751e-21	  3.8313e+02	  3.8313e+02	  4.4509e-13	           0	
     1.00005	  4.1457e-08	  1.0000e-09	  1.2461e-03	  1.0946e+01	  1.6540e-09	  3.9803e-08	  3.9803e-08	  5.8363e-23	  2.4065e+04	  2.4065e+04	  3.5286e-11	           0	
    0.999996	  3.0822e-06	  1.0000e-09	  7.5596e-03	  1.1747e+01	  1.2716e-06	  1.8106e-06	  1.8106e-06	  9.7691e-23	  1.4239e+03	  1.4239e+03	  7.6826e-14	           0	
    0.999968	  2.0121e-05	  1.0571e-02	  1.0000e-09	  2.0913e+00	  1.8812e-05	  1.3094e-06	  8.1183e-09	  1.3013e-06	  6.9605e+01	  4.3154e-01	  6.9174e+01	           0	
     0.99993	  2.8022e-05	  1.0000e-09	  1.4858e-02	  1.2039e+01	  2.6039e-05	  1.9852e-06	  1.9852e-06	  1.6301e-22	  7.6241e+01	  7.6241e+01	  6.2604e-15	           0	
     0.99997	  5.6056e-05	  1.0000e-09	  1.0342e-02	  1.1880e+01	  5.4063e-05	  1.9943e-06	  1.9943e-06	  1.3574e-21	  3.6888e+01	  3.6888e+01	  2.5107e-14	           0	
     1.00003	  9.1709e-09	  4.1804e-03	  1.0000e-09	  2.4959e+00	  8.5455e-09	  6.2516e-10	  2.4170e-11	  6.0099e-10	  7.3157e+01	  2.8284e+00	  7.0329e+01	           0	
